sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_4,6794324,32403,702,85.36,0.41,0,14.230000000000004,0.33,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,6431150,4920,200,90.43,0.07,0,9.5,0.24,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,6556211,5118,251,92.49,0.07,0,7.440000000000012,0.59,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_60_none_3,6669565,4929,286,91.82,0.07,0,8.110000000000014,0.34,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_4,6388135,10912,709,87.6,0.15,0,12.25,0.34,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_4,3972184,3615,178,92.48,0.08,0,7.439999999999998,0.38,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,7609516,6017,198,90.32,0.07,0,9.610000000000014,0.32,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_5,1346394,962,38,87.29,0.06,0,12.649999999999991,0.5,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,1588357,1461,48,92.64,0.09,0,7.269999999999996,0.41,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_5,13415455,9603,402,90.13,0.06,0,9.810000000000002,0.12,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_1,6419440,43101,881,87.54,0.59,0,11.86999999999999,0.32,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,6159999,4289,221,89.63,0.06,0,10.310000000000002,0.38,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,8800816,8662,553,86.97,0.09,0,12.939999999999998,0.33,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_2,6506841,4340,153,91.15,0.06,0,8.789999999999992,0.31,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_6,5611852,4182,77,87.21,0.06,0,12.730000000000004,0.25,0
YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,3066578,2222,81,89.85,0.07,0,10.080000000000013,0.25,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_1,3269078,3787,66,90.56,0.1,0,9.340000000000003,0.37,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_3,12614765,9141,394,88.85,0.06,0,11.090000000000003,0.39,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,8159987,7338,296,91.32,0.08,0,8.600000000000009,0.29,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_1,4075309,3527,161,91.28,0.08,0,8.64,0.38,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_2,6520297,62451,498,87.45,0.84,0,11.709999999999994,0.33,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,2795874,2657,54,91.85,0.09,0,8.060000000000002,0.13,0
WT_YPD_none_Glucose_2_1440_none_4,4572272,4157,98,85.84,0.08,0,14.079999999999998,0.5,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_2,11045048,9256,305,90.01,0.08,0,9.909999999999997,0.45,0
WT_YPD_none_Glucose_2_1440_none_21,7056512,6118,184,85.23,0.07,0,14.700000000000003,0.54,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,3916809,13919,170,76.27,0.27,0,23.460000000000008,0.36,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2,8790047,6812,425,89.04,0.07,0,10.89,0.3,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,3393981,3083,126,89.44,0.08,0,10.480000000000004,0.15,0
WT_YPD_none_Glucose_2_1440_none_18,5237414,4157,132,88.7,0.07,0,11.230000000000004,0.53,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,5486894,14272,157,77.9,0.2,0,21.89999999999999,0.52,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_1,11959762,8933,325,88.83,0.07,0,11.100000000000009,0.33,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_3,6195159,82840,617,83.55,1.12,0,15.329999999999998,0.33,0
YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,5824369,4043,124,89.45,0.06,0,10.489999999999995,0.25,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_4,7497642,43905,765,86.06,0.5,0,13.439999999999998,0.34,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_1,9706567,5965,339,89.23,0.05,0,10.719999999999999,0.5,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_2,80989,144,1,71.5,0.13,0,28.370000000000005,0.35,3
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_4,9665722,6091,320,91.05,0.06,0,8.89,0.29,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_2,21900,70,4,63.08,0.2,0,36.72,0.9,3
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_4,2514366,1908,87,90.6,0.07,0,9.330000000000013,0.21,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,3578029,5169,250,84.15,0.12,0,15.72999999999999,0.21,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,2630154,2109,135,89.77,0.07,0,10.16000000000001,0.28,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,8393887,6603,250,93.36,0.07,0,6.570000000000007,0.46,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_60_none_4,11599115,7462,397,90.74,0.06,0,9.200000000000003,0.32,0
WT_YPD_none_Glucose_2_1440_none_3,3680025,3351,80,85.29,0.08,0,14.629999999999995,0.45,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_4,9154083,17574,1083,87.14,0.17,0,12.689999999999998,0.3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,2570912,2057,130,92.63,0.07,0,7.300000000000011,0.23,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,5359153,8766,370,82.24,0.13,0,17.63000000000001,0.11,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_3,6601079,71114,538,86.96,0.94,0,12.100000000000009,0.46,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_7,3759,4,0,86.83,0.09,0,13.079999999999998,0.05,1
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,6003762,3430,295,93.01,0.05,0,6.939999999999998,0.38,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,7144404,5668,161,92.57,0.07,0,7.360000000000014,0.32,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,5910468,4474,215,91.52,0.07,0,8.41000000000001,0.26,0
YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,9050511,35198,219,75.48,0.29,0,24.22999999999999,0.54,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_2,5932041,4692,317,92.22,0.07,0,7.710000000000008,0.44,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_1,9137601,7137,110,88.39,0.07,0,11.540000000000006,0.29,0
WT_YPD_none_none_2_1440_none_8,8695802,6618,172,91.76,0.07,0,8.170000000000002,0.36,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,3915667,8021,141,80.2,0.16,0,19.64,0.45,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_3,9205838,20187,1868,86.08,0.19,0,13.730000000000004,0.33,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_60_none_3,11594715,8910,287,89.65,0.07,0,10.280000000000001,0.32,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,6515086,6945,307,89.43,0.1,0,10.469999999999999,0.37,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,6139856,19248,117,79.09,0.25,0,20.659999999999997,0.46,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,7849026,8633,485,91.47,0.1,0,8.430000000000007,0.58,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,9643255,8188,536,89.56,0.08,0,10.36,0.25,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,11665725,10973,652,86.74,0.08,0,13.180000000000007,0.29,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,7648833,5950,398,92.42,0.07,0,7.510000000000005,0.41,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_60_none_4,7268999,5836,483,91.46,0.07,0,8.470000000000013,0.51,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_60_none_2,11530008,8347,387,90.94,0.07,0,8.990000000000009,0.31,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,12187858,11083,443,86.76,0.08,0,13.159999999999997,0.58,0
YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,7304080,7004,284,90.08,0.09,0,9.829999999999998,0.22,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,5124705,3650,135,92.16,0.07,0,7.77000000000001,0.41,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_3,6278357,5438,409,91.34,0.08,0,8.579999999999998,0.37,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_3,7548154,6142,283,89.33,0.07,0,10.600000000000009,0.36,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,2693181,1963,101,89.75,0.07,0,10.180000000000007,0.19,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,6781870,5952,236,90.63,0.08,0,9.290000000000006,0.25,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_3,4431983,3849,153,90.1,0.08,0,9.820000000000007,0.33,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,5907592,5048,202,91.2,0.08,0,8.719999999999999,0.2,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,1547549,1034,63,93.08,0.06,0,6.859999999999999,0.45,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_3,7251039,7766,263,90.98,0.1,0,8.920000000000002,0.3,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,21201511,11237,466,90.54,0.05,0,9.409999999999997,0.34,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,5657201,4745,122,92.85,0.08,0,7.070000000000007,0.36,0
WT_YPD_none_Glucose_2_1440_none_34,2729386,1928,52,92.4,0.07,0,7.530000000000001,0.19,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_5,2768601,2307,116,90.02,0.08,0,9.900000000000006,0.14,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,6834637,4745,204,90.63,0.06,0,9.310000000000002,0.29,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_4,2944758,2077,96,90.4,0.06,0,9.539999999999992,0.1,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,8105399,6729,316,87.95,0.07,0,11.980000000000004,0.19,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_8,4046217,4306,150,82.25,0.09,0,17.659999999999997,0.22,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_5,730623,693,15,85.41,0.08,0,14.510000000000005,0.48,1
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,4453961,3147,207,89.28,0.06,0,10.659999999999997,0.41,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,6163985,4763,229,91.2,0.07,0,8.730000000000004,0.2,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_60_none_2,NA,NA,NA,NA,NA,NA,NA,NA,NA
