sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_2,7687289,56545,995,84.55,0.62,0,14.829999999999998,0.35,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_2,11836769,10227,394,90.75,0.08,0,9.170000000000002,0.23,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,3112467,2437,62,87.86,0.07,0,12.070000000000007,0.14,0
WT_YPD_none_Glucose_2_1440_none_2,8812031,14573,229,83.79,0.14,0,16.069999999999993,0.87,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,12807835,11602,230,92.52,0.08,0,7.400000000000006,0.33,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,6552735,4429,270,87.6,0.06,0,12.340000000000003,0.19,0
WT_YPD_none_none_2_1440_none_1,2209306,1887,73,83.01,0.07,0,16.92,0.44,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_2,11620797,7366,351,89.6,0.06,0,10.340000000000003,0.42,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,2349929,2315,136,92.02,0.09,0,7.890000000000001,0.17,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_3,7719964,24483,2231,80.53,0.26,0,19.209999999999994,0.28,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,3472328,2597,220,91.62,0.07,0,8.310000000000002,0.31,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,8470459,6677,370,92.12,0.07,0,7.810000000000002,0.44,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,3987456,3944,121,84.6,0.08,0,15.320000000000007,0.29,0
YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,8274706,51714,179,75.88,0.47,0,23.650000000000006,0.41,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,7260608,20714,184,76.81,0.22,0,22.97,0.29,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_3,5870792,4598,263,91.94,0.07,0,7.990000000000009,0.35,0
WT_YPD_none_none_2_1440_none_4,7218654,5410,159,90.66,0.07,0,9.27000000000001,0.3,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2,6144758,6364,246,89.86,0.09,0,10.049999999999997,0.33,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,6390448,4427,241,88.74,0.06,0,11.200000000000003,0.2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,3282779,3156,198,86.51,0.08,0,13.409999999999997,0.32,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_3,7235403,37881,612,86.64,0.45,0,12.909999999999997,0.34,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_2,1370082,919,63,92.97,0.06,0,6.969999999999999,0.39,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,10493670,7745,530,92.56,0.07,0,7.3700000000000045,0.44,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,4651315,4674,228,90.65,0.09,0,9.259999999999991,0.3,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,2987407,3336,298,89.16,0.1,0,10.740000000000009,0.34,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,7401803,15646,226,89,0.19,0,10.810000000000002,0.51,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,2485621,1668,57,88.77,0.06,0,11.170000000000002,0.16,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,7049427,5228,214,91.77,0.07,0,8.16000000000001,0.3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,10170424,8373,377,89.01,0.07,0,10.920000000000002,0.26,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,4531747,14688,129,77.26,0.25,0,22.489999999999995,0.37,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_2,10428476,25184,637,85.09,0.21,0,14.700000000000003,0.2,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,11047853,8191,465,92.68,0.07,0,7.25,0.38,0
