unmapped_percent,sample,status
1.97,YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.8199999999999998,YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.81,WT_YPD_none_Glucose_2_1440_none_22,0
0.69,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_3,0
1.22,YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5,0
0.5700000000000001,WT_YPD_none_none_2_1440_none_2,0
0.6399999999999999,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
0.6,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_3,0
1.34,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.82,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
1.3,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.07,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
1.13,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.01,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_1,0
0.75,WT_YPD_none_Glucose_2_1440_none_8,0
1.06,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_2,0
0.6100000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_1,0
0.87,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_4,0
1.1,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_3,0
0.75,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_4,0
0.6100000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_1,0
1.48,YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
1.13,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.6200000000000001,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
0.9099999999999999,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_1,0
0.7200000000000001,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_4,0
1.29,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
2.3600000000000003,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
0.63,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4,0
0.83,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_2,0
0.79,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_2,0
0.65,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,0
0.61,WT_YPD_none_Glucose_2_1440_none_2,0
0.99,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.15,YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
0.78,WT_YPD_none_none_2_1440_none_1,0
1.95,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_2,0
1.9300000000000002,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.31,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_3,0
1.26,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.71,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
0.7200000000000001,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,0
1.18,YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
3.43,YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
