sample,status
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,8
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_5,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_6,8
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_5,8
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_5,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_6,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_5,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_6,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_5,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_6,0
YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
